,Ticker,Price
2022-09-01,AAPL,157.9600067138672
2022-09-02,AAPL,155.80999755859375
2022-09-06,AAPL,154.52999877929688
2022-09-07,AAPL,155.9600067138672
2022-09-08,AAPL,154.4600067138672
2022-09-09,AAPL,157.3699951171875
2022-09-12,AAPL,163.42999267578125
2022-09-13,AAPL,153.83999633789062
2022-09-14,AAPL,155.30999755859375
2022-09-15,AAPL,152.3699951171875
2022-09-16,AAPL,150.6999969482422
2022-09-19,AAPL,154.47999572753906
2022-09-20,AAPL,156.89999389648438
2022-09-21,AAPL,153.72000122070312
2022-09-22,AAPL,152.74000549316406
2022-09-23,AAPL,150.42999267578125
2022-09-26,AAPL,150.77000427246094
2022-09-27,AAPL,151.75999450683594
2022-09-28,AAPL,149.83999633789062
2022-09-29,AAPL,142.47999572753906
2022-09-30,AAPL,138.1999969482422
2022-10-03,AAPL,142.4499969482422
2022-10-04,AAPL,146.10000610351562
2022-10-05,AAPL,146.39999389648438
2022-10-06,AAPL,145.42999267578125
2022-10-07,AAPL,140.08999633789062
2022-10-10,AAPL,140.4199981689453
2022-10-11,AAPL,138.97999572753906
2022-10-12,AAPL,138.33999633789062
2022-10-13,AAPL,142.99000549316406
2022-10-14,AAPL,138.3800048828125
2022-10-17,AAPL,142.41000366210938
2022-10-18,AAPL,143.75
2022-10-19,AAPL,143.86000061035156
2022-10-20,AAPL,143.38999938964844
2022-10-21,AAPL,147.27000427246094
2022-10-24,AAPL,149.4499969482422
2022-10-25,AAPL,152.33999633789062
2022-10-26,AAPL,149.35000610351562
2022-10-27,AAPL,144.8000030517578
2022-10-28,AAPL,155.74000549316406
2022-10-31,AAPL,153.33999633789062
2022-11-01,AAPL,150.64999389648438
2022-11-02,AAPL,145.02999877929688
2022-11-03,AAPL,138.8800048828125
2022-11-04,AAPL,138.3800048828125
2022-11-07,AAPL,138.9199981689453
2022-11-08,AAPL,139.5
2022-11-09,AAPL,134.8699951171875
